Firstname,Lastname,Pos,Team,Level,Pro Years
Garrett,Jacques,P,IDA,AA,0
Sean,Lockhart,P,Free Agent,A,6
Buck,Scurvy,P,LAKE,AA,0
Ernie,Ingram,P,Free Agent,A,0
Tom,Dennison,SS,ROCK,A,0
Ahmad,O'Connor,P,SCRN,AA,0
Randy,Stewart,LF,Free Agent,A,0
Ini,Kamoze,2B,ROME,AA,0
John,Parrish,SS,CHES,AA,0
Jim,Pederson,P,MIDL,ML,4
Bryan,Dotson,P,AUCK,AA,0
Nathan,Tang,P,OMA,ML,6
Ben,Vanhaitsma,3B,Free Agent,A,9
Tuan,Anders,RF,PORT,ML,0
Don,Sieracki,P,MAIN,ML,0
Elton,Bibian,C,Free Agent,A,0
Rey,Gasca,1B,SF,A,0
Winfred,Rouse,P,ELP,AAA,0
Mal,Aarons,1B,DAY,ML,4
Leon,Milley,2B,CASP,A,0
Peter,Almeida,LF,Free Agent,A,0
Richard,Wallick,3B,FRIS,A,0
Rubin,Sieg,P,SCRN,AA,0
Martin,Vayda,SS,Free Agent,A,0
Bill,Dawson,LF,LYNC,A,0
Luka,Diaz,P,IDA,A,7
Damon,Cerecedes,RF,ROCK,ML,4
Brian,Gagner,CF,ROME,A,0
Toots,Colter,SS,MAHO,ML,3
Orlando,Hill,RF,MAHO,A,0
Ron,Gula,P,LAKE,A,0
Jason,Phifer,3B,Free Agent,A,0
Milt,Bond,SS,Free Agent,A,0
Carlos,Croghan,RF,AUCK,AAA,0
Andres,Goetsch,P,RICH,AA,0
Jeromy,Wangler,P,AUCK,AAA,0
Marvin,Hancock,LF,Free Agent,A,0
Bob,Kaiser,SS,SCRN,AAA,0
Andrew,Berry,CF,Free Agent,A,0
Lew,Raetz,P,PORT,AA,0
Jeffrey,Mrazek,P,DAY,A,11
Carlos,Lopez,RF,Free Agent,A,0
Duane,Black,LF,ALTO,ML,2
Edwin,Greany,P,Free Agent,A,0
Mike,Lutz,P,MIDL,A,0
Joe,Johnson,P,HILL,A,0
Merle,Pinto,P,LOUI,A,8
Dave,Vicari,P,OKC,A,0
Davy,Larose,1B,SUGR,ML,6
Timothy,Swamp,P,BANG,AA,0
Dennis,Howell,1B,MIDL,AA,0
Michael,Sirin,RF,SF,ML,1
Mark,Charles,P,HILL,AA,0
Herschel,Talamantes,P,HILL,ML,0
Marshall,Roberts,P,PEOR,A,0
Steve,Minelli,P,Free Agent,A,0
Rob,Spiva,P,TEX,AA,0
Ray,Oberly,P,Free Agent,A,0
Douglas,Howard,3B,LAKE,AAA,0
Michel,Hakes,LF,FRIS,AAA,0
Justin,Callaway,P,SUGR,A,0
Aristotle,Kennedy,1B,SUGR,AA,0
Clarence,Auiles,1B,FRIS,AAA,0
Abel,Kim,1B,LOUI,AA,0
Duncan,Idaho,1B,NORW,ML,11
Charlie,Ontiveros,P,AUCK,A,0
Jack,Younis,C,FRIS,AAA,0
Don,Petch,P,EDMO,A,0
Lee,Francis,P,MAHO,AA,0
Rob,Basket,P,MIDL,A,0
Mike,Fuss,P,Free Agent,A,0
Dickie,Nimitz,P,Free Agent,A,13
Heath,Colatruglio,P,LOUI,A,0
Terry,Gonsalves,LF,HILL,AAA,0
Jack,Nadeau,P,Free Agent,A,0
Ugueth,Urbani,1B,Free Agent,A,0
Joe,Jonas,C,EDMO,A,0
George,Weaver,CF,ELP,AA,0
Reginald,Jensen,SS,Free Agent,A,0
Grady,Stokes,LF,DAY,ML,3
Ryan,Kruse,C,WISC,A,14
Gerald,Thurman,RF,SF,AAA,0
Dan,Markert,CF,ROME,A,0
Denver,Schley,P,Free Agent,A,2
Willie,Cartegena,C,BANG,A,0
Livan,Everton,P,MAIN,A,7
Claude,Lott,3B,NORW,AA,0
Rodger,Oertel,3B,Free Agent,A,0
Mike,Coldren,SS,Free Agent,A,0
Jackie,Newlan,CF,ELP,A,0
Duane,Adkins,P,PORT,ML,6
Darius,Pitstick,LF,Free Agent,A,0
Scott,Weidemann,CF,ALTO,A,0
Jonas,Downs,LF,IDA,A,0
Donald,Santai,C,Free Agent,A,0
Cayden,Dilauro,1B,SCRN,A,0
Leonardo,Morrison,2B,PORT,A,0
Everette,Pettey,3B,ROCK,A,0
Vaughn,Rabenold,P,SCRN,AAA,0
John,Storniolo,SS,DAY,A,0
Paul,Guthrie,P,Free Agent,A,1
Keegan,Schmierer,P,ROME,ML,1
Don,Nimmons,P,TEX,ML,6
Dagwood,Johnson,LF,WISC,A,0
Brian,Brito,LF,MAIN,AA,0
Jerry,Leal,CF,LYNC,A,0
Raymond,Aquirre,RF,RICH,A,0
Eric,Carlson,P,SF,A,0
Joseph,Mabbott,P,TEX,AAA,0
Hal,Moore,CF,SCRN,AA,0
Tony,Weathers,3B,LYNC,AA,0
Dwigt,Rortugal,P,MAHO,ML,1
James,Reeder,P,ROME,A,0
Ron,Stickney,P,SF,ML,1
Chester,Thompson,P,LAKE,A,0
Jamie,Means,P,NORW,A,0
Eliseo,Duffield,1B,MAHO,AAA,1
Randall,McGaughy,SS,TEX,ML,10
Rumeal,Robinson,P,EDMO,AAA,0
River,Ford,P,OKC,A,0
Bryan,Bosa,P,MAHO,ML,2
Darnell,Hayes,P,EDMO,AAA,0
Otto,Morena,3B,TEX,A,7
Jim,Hackney,P,DAY,ML,1
Tom,Benedict,P,LAKE,A,0
Clyde,Bruckman,P,CASP,AAA,0
Rich,Rugg,P,FRIS,AA,0
Ken,Miralles,P,MIDL,AA,0
Nicholas,Erickson,2B,CASP,AAA,0
Charles,Hunter,1B,NORW,ML,6
Reginald,Serio,LF,LAKE,AAA,0
Edison,Rijo,P,OKC,A,0
Rodolfo,Sass,P,CHES,A,0
Jonathon,Reid,P,AUCK,A,0
Eric,Washington,P,ALTO,AA,0
Mario,Anglemyer Jr,P,FRIS,AA,0
Clifford,Myers,P,PEOR,A,0
Stephen,Little,RF,ROCK,AAA,0
Allan,Chance,P,SUGR,A,0
Ralph,Curbow,C,TEX,A,5
Juan,Zamora,LF,CASP,A,0
Marv,Nicholson,SS,RICH,A,0
Chad,Ellis,C,LAKE,A,0
Dennis,Mackey,RF,NORW,A,0
Randy,Gilmore,RF,MAIN,ML,0
Johnny,Young,RF,SCRN,A,0
Brad,Murray,SS,SCRN,A,0
Demetrius,Davis,C,BANG,A,0
Ken,Lee,1B,Free Agent,A,0
George,Redpath,2B,ALTO,A,0
Hollis,Reagor,3B,MAIN,A,0
Les,Aiken,LF,LYNC,ML,0
Jonathan,Norris,SS,MAIN,A,0
Steve,Mattas,LF,AUCK,A,0
Eugene,Hernandez,CF,BANG,A,0
Randal,Shipmen,RF,MAHO,A,0
Matt,Allison,C,NORW,AAA,0
Frederic,Crawford,P,AUCK,A,0
Ed,Clanton,P,ALTO,A,0
Norm,Samek,P,OKC,A,0
Hal,Carter,P,CASP,A,0
Webster,Clark,SS,ROCK,AA,0
Vincent,Husky,P,HILL,A,0
Eugene,Perez,CF,FRIS,AAA,0
Rogelio,Cleary,P,TEX,ML,9
Carmen,SanDiego,P,PORT,ML,1
Arturo,Heineman,RF,LAKE,AAA,0
Shawn,Scharr,3B,SF,AA,0
Edward,Kishel,P,OKC,A,0
Robbie,Dowless,SS,ROME,AAA,0
Bill,Tubbs,P,SUGR,A,0
Maxx,Moxie,3B,SUGR,ML,1
Zachary,Brown,P,WISC,A,0
Domingo,Ruiz,P,AUCK,A,0
Steve,Brahney,RF,LYNC,AA,0
Roger,Aboud,CF,Free Agent,A,5
Bradley,Chellis,LF,Free Agent,A,6
Griffin,Phoenix,3B,LAKE,AA,0
Geoff,Heineman,2B,NORW,AA,0
Lucien,Morris,SS,LYNC,ML,3
Dixie,Leckie,P,MIDL,A,0
Earl,Harris,P,MIDL,A,0
Eugene,Slaughter,CF,MAHO,AAA,0
Nathaniel,Ortiz,C,Free Agent,A,0
Mario,Hendry,1B,LYNC,AA,0
Clifford,Chan,C,LOUI,ML,0
Kyle,Capulong,C,PEOR,A,0
Ryan,Campos,2B,IDA,A,0
Frank,Kurtzman,1B,IDA,A,0
Jeffery,Olson,C,MAIN,A,0
Mike,Beckstrand,1B,SCRN,ML,6
Will,McCreadie,2B,ROME,A,0
Eric,Luna,P,SUGR,AAA,0
Devin,Daniel,SS,SF,AAA,0
Edgar,Daniels,P,LAKE,AAA,4
Scott,Lowery,P,OMA,ML,3
Josh,Sikora Jr,C,Free Agent,A,0
Stu,Hammond,1B,ELP,A,0
Dominic,Guadeloupe,2B,Free Agent,A,0
Brent,Johnson,3B,NORW,A,0
Lee,Motamedi,SS,LAKE,A,0
Larry,Legend,LF,CASP,A,0
Lamar,Mazurkiewicz,CF,MAIN,A,0
Harold,Trembley,RF,MAIN,A,0
John,Swarthout,P,PORT,A,0
Charlie,Levitt,P,WISC,A,0
Jim,Murphy,P,PORT,AA,0
Jose,Blasengame,P,PEOR,A,0
Walter,Winn,P,MIDL,A,0
Scott,Kilday,P,PORT,AA,0
Verle,Fiumara,P,MIDL,A,0
Richard,Graves,P,PORT,AA,0
Johnny,Bee,P,BANG,A,0
Jesse,Addams,P,TEX,AAA,0
Mike,Nawrocki,P,AUCK,A,0
Augie,Holt,P,TEX,AAA,0
Toby,Clay,P,CHES,A,0
John,Blint,P,SCRN,AA,0
Clifford,Barnes,1B,RICH,ML,0
Clarence,Rivenberg,P,SCRN,A,0
Woody,Kham,P,OMA,A,0
Richard,Jones,P,PEOR,AA,0
Clay,Perkins,RF,WISC,AAA,0
Joseph,Carbonneau,P,Free Agent,A,7
Greg,Lopez,P,SF,A,0
Bruce,Tawwater,RF,Free Agent,A,0
Craig,Hamilton,P,FRIS,ML,0
Bob,Horton,C,MAIN,AA,0
Gary,Zadora,CF,RICH,A,0
Carr,Parker,C,CASP,A,0
Sparrow,Mimbs,3B,SF,A,0
John,Correa,1B,PEOR,AAA,0
Milt,Filpo,RF,FRIS,A,0
Denver,Culp,SS,MAHO,A,0
Coleman,Hall,C,LOUI,A,0
Jeffrey,Howdyshell,1B,SCRN,A,0
Jeffrey,Bush,LF,ALTO,ML,1
Anthony,Simmoms,P,MAHO,AAA,1
Jose,Brickhouse,SS,CHES,AA,0
Mikey,Edie,CF,IDA,ML,9
Johnny,Seymor,P,PEOR,AAA,0
Rob,Dietrich,2B,SF,A,0
Joshua,Galeana,3B,DAY,A,0
Ronny,Johnson,SS,LAKE,A,0
Kyle,Wilson,LF,DAY,A,0
Florentino,Harris,CF,BANG,A,0
Mose,Braden,RF,LYNC,A,0
Jason,Friese,C,MAIN,ML,0
John,Pugh,P,MIDL,A,0
Reuben,Greene,P,WISC,ML,1
Larry,Politte,P,MAHO,AAA,0
Paul,Olivas,P,SF,AA,0
Terrence,Griffin,P,AUCK,A,0
Lester,Nelson,P,WISC,A,0
Louie,Harris,P,MIDL,A,0
Jacob,Cobb,P,TEX,A,12
Paul,Barribeau,P,LAKE,A,0
Bryce,Cope,P,ELP,AAA,0
Jim,Echevaria,P,HILL,A,0
Jonathan,McTigue,P,OKC,A,0
Phil,Horwath,P,Free Agent,A,6
Jake,Vanderlinden,P,SF,A,0
Ryan,Veil,P,HILL,A,4
Gary,Gonzalez,P,OKC,A,0
Rich,Fournier,P,OKC,ML,7
Mikel,Marin,P,Free Agent,A,2
Duke,Olney,P,CHES,A,0
Dennis,Puckett,P,RICH,A,0
Lawrence,McFarland,C,LAKE,A,0
Rob,Boynton,RF,MAIN,A,0
Elbie,Mari,1B,CASP,A,0
Stan,Cochran,C,MAIN,A,0
Johnny,Officer,3B,CHES,AAA,0
Chris,Echeverri,LF,LOUI,ML,1
Devon,Buzzelli,P,MAIN,ML,1
Forest,Murphy,LF,DAY,A,0
Mike,Gevorkyan,RF,Free Agent,A,0
Lewis,Skalicky,C,Free Agent,A,0
Alvin,Lopez,1B,ELP,A,0
Cal,Hunter,2B,ROME,A,0
Jeffrey,Leone,3B,NORW,A,0
Adam,McBath,SS,ROCK,A,0
Marcos,Vandenburgh,LF,MAIN,A,0
Dave,Krebs,C,CHES,AAA,0
Rodney,Doyle,C,OMA,ML,1
Rory,Kelly,P,MAIN,A,7
Jeffrey,Horsley,C,CASP,AAA,1
Bobby,Gaskin,P,CHES,AAA,0
Dorian,Widmayer,CF,AUCK,A,0
Ray,Galstad,RF,DAY,A,0
Torii,Koch,RF,LAKE,A,7
Frank,Hampton,P,ELP,ML,6
Ken,Roybal,C,Free Agent,A,0
Greg,Altenhofen,P,SF,A,0
Eugene,Brockman,P,MAHO,A,0
Jamie,Long,RF,LAKE,AAA,0
Emmanuel,Gray,P,EDMO,A,0
Jordan,Harvey,P,PEOR,A,0
Micheal,Ready,P,Free Agent,A,0
Jose,Fletcher,P,ROCK,A,0
Jerry,Blair,RF,MAIN,ML,6
Fred,Morrison,P,LYNC,AA,0
Clifford,Silva,P,AUCK,A,0
Ivory,Malik,P,LOUI,A,0
Terrance,Stewart,P,PEOR,A,0
Walter,Jaime,2B,ELP,AAA,0
Barry,Allen,1B,AUCK,ML,5
Todd,Frazier,P,LYNC,AAA,0
Irvin,Paradise,C,ELP,AAA,0
Angelo,Seelig,LF,WISC,AAA,0
Daron,Creson,2B,LYNC,AAA,0
Dan,Studler,SS,ROCK,AAA,0
Dave,Hensley,P,OMA,A,0
Rich,Lane,P,LOUI,A,0
Tom,Griffin,1B,EDMO,A,0
Terry,Skuse,CF,LAKE,A,0
Sherman,Nachor,SS,LOUI,A,0
Joe,McCallon,P,Free Agent,A,0
Hosken,Enriquez,C,MAIN,A,0
Joe,Henry,3B,FRIS,A,0
Bill,Stroble,CF,ROCK,A,0
Glen,Lohden,P,PORT,AA,0
Jonathan,Molenda,LF,SUGR,AAA,0
Milo,Hilfiger,P,CHES,AA,0
Jason,Delapena,C,RICH,A,0
Hipp,Shooter,P,LOUI,ML,5
Mario,O'Donald,1B,NORW,A,0
Ken,Prucnal,2B,DAY,A,0
Roy,Joyner,3B,DAY,A,0
Ray,McElwee,SS,PEOR,A,0
Donovan,Rivas,LF,LYNC,A,0
Ryan,Miranda,CF,DAY,A,0
Enrique,White,RF,DAY,A,0
Roger,McKinney,P,NORW,A,0
Alfred,Stillions,3B,WISC,AAA,0
Moshe,Rainford,P,ALTO,AA,0
Jim,Davenport,P,ALTO,A,0
Elijah,Prisbrey,P,IDA,ML,4
Clarence,Peek,P,FRIS,AA,0
Bob,Gullion,P,BANG,A,0
Thaddeus,Reynolds,P,WISC,A,0
Jesus,Perrins,P,SF,ML,2
Roy,Perazzo,P,MIDL,A,0
Tim,Turne,P,CHES,A,0
Jarvis,Amoruso,P,Free Agent,A,0
Kenton,Jones,P,MIDL,A,0
DeMorris,Throop,P,ELP,AAA,1
Jason,Larson,LF,MAHO,AAA,0
Kristopher,Davis,P,AUCK,A,0
Henry,Le,P,IDA,A,0
Frank,Prater,C,SF,AA,0
Dave,Frees,P,WISC,A,0
Andrew,Bliss,P,ROCK,ML,0
Mike,Water,SS,RICH,A,0
Bob,Fuller,P,WISC,AAA,0
Scott,Brown,3B,LOUI,A,0
Bill,Miles,2B,SCRN,A,0
Sean,Horton,3B,OMA,A,0
Luther,Wells,LF,MAIN,AA,0
Jeff,Jahns,C,CASP,A,0
Justin,Benton,2B,ELP,A,0
Marco,Ruiz,2B,WISC,ML,0
Kent,Echols,P,DAY,ML,3
Jeff,Placko,3B,ELP,AA,0
Bill,Doak,C,TEX,A,0
Charlie,Japp,P,WISC,AA,0
Edwin,Shimer,1B,FRIS,A,0
Foster,McGill,2B,SCRN,A,0
Salvador,Crider,3B,LAKE,A,0
Joe,Jorgensen,SS,ROCK,A,0
Larry,Besemer,LF,LOUI,A,0
Ben,Gehling,CF,BANG,A,0
Bruce,Degirolamo,RF,DAY,A,0
Ron,Caruthers,P,WISC,A,0
Rickey,Brown,2B,TEX,AAA,0
Anthony,Dorsey,LF,SCRN,AAA,0
Jeremiah,Daley,C,SF,AA,0
Dennis,Martinez,P,PEOR,A,0
Lupe,Neely,P,OMA,A,0
Cody,Breidenstein,P,SUGR,A,0
Wilber,Walker,P,OKC,A,0
Mathew,Luna,P,NORW,A,0
Jerry,Skaggs,P,OKC,A,0
Frank,Burton,P,ROCK,A,0
Jim,Mizell,P,OMA,A,0
Andy,Ertel,P,CHES,A,0
Simon,Williams,P,LAKE,A,0
River,Cruz,2B,Free Agent,A,0
Stewart,Hoerner,1B,ELP,A,0
Gordon,Booser,3B,MIDL,A,0
Andrew,Sugai,2B,Free Agent,A,0
Aden,Polito,SS,IDA,A,0
Michael,Barro,C,MAIN,AA,0
Dennis,Cummings,1B,ROME,AA,0
Bernard,Young,SS,CASP,AA,0
Eric,Stephenson,C,SCRN,A,0
Rafael,Ayala,C,ROCK,A,0
Ivan,Russell,1B,OMA,A,0
Willie,Manning,2B,WISC,A,0
Salvador,West,3B,SUGR,A,0
Charles,Droke,SS,ROME,A,0
Roger,Owens,1B,HILL,AAA,0
Ringo,Bell,LF,SCRN,A,0
Lester,Fuente,CF,SF,A,0
Alfonso,Nieland,CF,EDMO,ML,0
Tommy,McKellop,RF,LOUI,A,0
Blake,Gugerty,CF,WISC,ML,1
Rickey,Cross,P,WISC,AA,0
Mike,Eisenberg,P,HILL,A,0
Julius,Johnson,1B,IDA,AAA,1
Ted,Roon,P,CHES,A,0
Alfredo,Montiel,P,EDMO,ML,0
Homer,Ashley,P,PEOR,A,0
Allan,Borkowski,P,FRIS,A,0
Steven,Gibbs,P,SF,A,0
Jeremy,Scoles,SS,SF,AA,0
Walter,Vigor,P,WISC,A,0
Mark,Mann,2B,MAIN,ML,1
Dave,Abel,P,WISC,A,0
John,Wider,P,MIDL,A,0
Matt,Emmons,CF,MAIN,AA,0
Garth,Brewster,CF,LAKE,AAA,0
Jim,Veselka,P,BANG,A,0
John,Wells,P,LAKE,A,0
Marcus,Turner,CF,ELP,AAA,0
Marcus,Flanagan,2B,ELP,A,0
Dwayne,Jetski,RF,ELP,ML,1
Alvin,Kneip,C,EDMO,A,0
John,Lockley,RF,PORT,A,0
Joe,Lang,CF,IDA,A,0
Ralph,Lord,RF,LOUI,A,4
Don,McDevitt Jr,CF,NORW,A,0
Montell,Helfenstein,P,MAIN,AA,0
Ruben,Nistler,C,IDA,A,0
Bruce,Hull,2B,LOUI,A,0
Darrell,Parker,C,PEOR,A,0
Percy,Segura,1B,FRIS,A,0
Jerrell,Cantor,2B,NORW,A,0
Bill,Pugh,3B,SF,A,0
Frank,Lopez,SS,MAIN,A,0
John,Flanagan,LF,LAKE,AAA,0
Kevin,Schelb,LF,IDA,A,0
Brent,Bejaran,CF,ELP,A,0
Kendall,Kendall,RF,NORW,A,0
Scott,Owens,P,TEX,AAA,0
Ed,Ahlin,P,OKC,A,0
Bob,Austin,P,BANG,A,0
Steven,Keltz,P,DAY,AAA,1
Glenn,Jarratt,P,MIDL,A,0
Seth,Snyder,P,EDMO,A,7
Larry,Farren,P,FRIS,A,0
Stephen,Rappleyea,P,HILL,A,0
Bob,Gilliam,P,LOUI,A,0
Gregory,Remus,P,MAHO,A,0
Rafael,Nitta,P,SUGR,A,0
Cy,Westley,P,LOUI,A,0
Oren,Gallegos,P,MIDL,A,0
Charles,Stephens,RF,IDA,AAA,0
Joe,Tealer,CF,Free Agent,A,0
Paul,Yoon,1B,TEX,ML,12
Scott,Lawhorn,3B,DAY,A,0
Esteban,Gassett,CF,FRIS,A,0
Michale,Bray,CF,SCRN,A,0
Ross,Gordon,P,PEOR,ML,4
Jesse,Somogyi,1B,FRIS,AAA,0
Robert,Finkel,P,MAHO,AAA,0
Cameron,Dooley Jr,1B,SCRN,A,0
Julio,Hodges,RF,OKC,A,10
Harry,Fletcher,P,OMA,AAA,0
Anthony,Gut,3B,MAIN,A,0
Joe,Allen,CF,SF,A,0
Joe,Bells,C,Free Agent,A,0
Daniel,Perez,P,DAY,AAA,0
Rafael,Farr,1B,ELP,A,0
Dave,Roos,CF,CASP,AA,0
Mal,Dolly,2B,RICH,A,0
Joe,Ekmark,P,LAKE,AAA,0
Charles,Simmon,3B,MAHO,A,0
Jose,Delgado,SS,AUCK,A,0
Silver,Beard,P,OKC,ML,2
Mike,White,P,ELP,AAA,0
Allen,Menzie,3B,OMA,AAA,0
Fredrick,Laughead,LF,ROCK,A,0
Rafael,Cayton,CF,NORW,A,0
Joe,Fillmore,C,SCRN,AAA,0
Aaron,Linton,RF,ALTO,A,0
Brian,Edwards,P,OMA,AAA,0
Max,Debutiaco,P,AUCK,A,0
Rob,McAdoo,P,LAKE,A,0
Aaron,Grames,2B,CASP,AAA,1
Bill,Vitello,P,OKC,A,0
Andre,Wood,C,LOUI,AAA,0
Jerry,Gil,P,ROCK,ML,6
Dave,Ayars,P,OMA,A,0
Jim,Prins,P,Free Agent,A,0
Hans,Harper,SS,RICH,AAA,0
Zander,Jacobs,P,EDMO,ML,0
John,Brock,CF,HILL,ML,2
Todd,Witherington,P,SUGR,A,0
Fred,Heminger,P,WISC,A,0
Mike,Burgess,1B,OMA,ML,0
Darrell,Furniss,3B,OMA,ML,1
Paul,Bacon,1B,AUCK,AA,0
John,Benitez,P,CHES,A,0
John,Stallings,P,OMA,A,0
Myer,Seven,1B,BANG,AAA,0
Patrick,Strehl,P,LAKE,A,0
Linc,Huhn,P,ROCK,ML,0
Israel,Thuss,C,OMA,AA,0
Vincent,Johnson,C,EDMO,AAA,0
Keith,Laufer,P,OKC,A,0
Eugene,Crumrine,RF,EDMO,AA,0
Chubbs,Peterson,RF,MAIN,ML,0
Alan,Jackson,C,SCRN,A,2
Plessy,Ferguson,1B,ROCK,A,0
Jason,Fleece,LF,OKC,ML,2
Miguel,Tomasino,C,RICH,A,0
Jessie,Fischer,RF,WISC,AA,0
Tim,Bermingham,CF,SCRN,A,0
Johnny,Caligiuri,3B,FRIS,A,0
Mike,Rivera,1B,CASP,A,6
Mike,Inouye,RF,DAY,A,0
Jason,Calhoun,SS,ROME,A,0
Mark,Tribbey,C,SCRN,A,0
Mervin,Baney,1B,IDA,A,0
Bryon,Rodrigue,2B,LAKE,A,0
Eric,Shartrand,SS,EDMO,ML,0
Ron,Duncan,3B,PORT,A,0
Murray,Gross,SS,SF,A,0
Gerald,Acevedo,LF,MAHO,A,0
Charles,Rowley,2B,SCRN,A,5
Jose,Zamorano,CF,Free Agent,A,0
Ralph,Busch,RF,FRIS,A,0
Raymond,Volden,P,OMA,A,0
Clifford,Terrell,P,CHES,ML,1
Tom,Zimmerman,P,BANG,A,0
Mark,Santos,P,HILL,A,0
Marcelino,Wong,P,BANG,ML,4
Jason,Cokely,P,HILL,A,0
Tyreese,Warnack,SS,ROCK,AAA,3
Ray,Zody,P,ALTO,A,0
Robert,Robison,P,CHES,A,0
Jeffrey,Cohenour,SS,EDMO,ML,4
Jim,Senteno,P,MAHO,AAA,0
Pedro,Hoopii,LF,PEOR,ML,0
Jacob,Cox,C,IDA,AA,0
Jeremiah,Longfellow,P,BANG,A,0
Derrick,Taylor,P,SUGR,A,0
John,Fontaine,P,OMA,A,0
Bob,Royal,P,FRIS,AA,0
Justin,Yauger,P,SUGR,A,0
Walter,Whaley,P,ROCK,A,0
Leo,Dietz,1B,CASP,A,0
Dan,Scholten,3B,Free Agent,A,0
Pete,Moss,2B,PORT,A,0
Bob,Zunkle,SS,AUCK,A,0
Charles,Peeters,C,DAY,A,0
John,Versace,3B,SCRN,AA,0
Mike,Baltimore,1B,PEOR,A,0
Alfred,Thornton,SS,SCRN,ML,2
Hub,Viele,C,DAY,A,0
Clyde,Barrow,LF,LOUI,A,7
Leonard,Lerma,1B,MAHO,A,0
Tom,Sperry,2B,IDA,A,0
Gary,Gentry,3B,IDA,A,0
Cal,Trask,2B,OMA,A,12
Amal,Walker,SS,NORW,A,0
Bradley,Kunstlinger,LF,EDMO,A,0
Francis,Solid,CF,Free Agent,A,0
Allen,Iverson,1B,ALTO,AA,0
Howard,Venegas,RF,Free Agent,A,0
Sly,Pupo,P,LAKE,A,0
Theodore,Person,P,MAHO,A,0
Delmar,Moore,P,LAKE,A,0
Elias,White,P,PORT,A,0
Jacob,Vogt,P,LOUI,A,0
Matthew,Tiegs,P,WISC,A,0
Mike,Schnelle,LF,SF,AAA,0
Alfred,Manzanarez,P,FRIS,A,0
Lew,Thompson,P,OKC,A,0
Bill,Wallace,P,CHES,A,0
Rob,Dominguez,P,LOUI,AA,0
Clem,Tschetter,P,DAY,A,0
Eric,Shoop,P,AUCK,A,0
Jarvis,Badeaux,C,CASP,A,0
Harold,Stiger,C,IDA,A,0
Gary,Victor,1B,Free Agent,A,0
Ken,Fields,C,SCRN,AAA,0
Jose,Tozier,2B,ROCK,A,0
Ronald,McCants,P,MAIN,ML,8
Jake,Leblanc,SS,PEOR,A,0
Frederick,Williams,P,ELP,ML,7
Russell,Hopton,C,Free Agent,A,0
Frank,Wrenn,LF,TEX,AAA,0
Charles,Sistrunk,C,MAIN,A,0
Ed,Gigante,1B,NORW,A,0
Oliver,Mitchell,3B,ROCK,ML,0
Roger,James,2B,ALTO,A,0
Joe,Lamphear,3B,CHES,A,0
Jamie,Billups,SS,Free Agent,A,0
Nick,Hopple,LF,AUCK,A,0
Josh,Iwaoka,CF,SUGR,A,0
Christopher,Armstrong,P,Free Agent,A,1
Mario,Pitts,RF,FRIS,A,0
Walter,Mavro,P,AUCK,A,0
Donnie,Tapia,P,PEOR,A,0
Jim,Herrera,P,ELP,A,0
Brett,Murray,P,ALTO,A,0
Travis,Horney,P,ROCK,ML,0
Dave,Miles,P,ROCK,A,0
Irv,Ray,2B,DAY,ML,8
Dave,Hicks,LF,IDA,ML,3
Bobbie,Severns,P,WISC,A,0
Tex,Bunche,P,SF,A,0
Charlie,Schwartz,P,ROCK,A,0
Eugenio,Kistle,P,WISC,A,0
Gregory,Nichols,P,ALTO,A,0
Josh,Hall,1B,TEX,A,0
David,Rivers,2B,WISC,A,2
George,Fox,RF,ROME,A,0
Fred,Ellison,P,MAIN,AAA,0
Leigh,Hunter,3B,ELP,A,0
Wayne,Donelly,RF,ALTO,A,0
John,Fitzpatrick,2B,OKC,A,0
Mike,Gray,P,ALTO,AA,0
Keith,Elam,P,SUGR,ML,1
Patrick,Galdi,LF,BANG,A,0
Phillip,Beringer,1B,LOUI,A,0
Albert,Copps,C,BANG,A,0
Dave,Pitts,1B,IDA,A,0
Gary,Spaulding,2B,DAY,A,0
Joe,Nassimi,LF,CHES,AAA,0
Terrence,Davis,3B,PEOR,A,0
John,Cheung,SS,MAHO,A,0
Micheal,Newman,P,SCRN,AAA,0
Enrique,Deadwyler,LF,DAY,A,0
Bucky,Liedke,CF,ALTO,A,0
Ronaldo,Martinez,RF,BANG,A,0
Billy,Fineberg,P,SUGR,A,0
Chris,Brown,P,ELP,AA,0
Ed,Lawson,P,IDA,A,0
Dave,Middleton,P,WISC,A,0
Eric,Neering,P,LAKE,A,0
Erich,Stewart,P,NORW,A,0
William,Varlas,P,OKC,A,0
Lenny,Espinoza,LF,SCRN,AA,0
Dane,Nguyen,P,CHES,A,0
Carroll,Sloan,P,HILL,A,0
Charles,Yackel,P,SUGR,A,0
Ali,Puskar,P,SUGR,A,0
Donny,Jaime,CF,SUGR,ML,5
Anthony,Laflen,P,CHES,A,0
Travis,McNair,LF,CASP,A,0
Bob,Paganico,C,MIDL,A,0
Boyd,Curran,SS,OMA,A,0
John,Schiavi,P,CASP,AA,0
Philip,Nisbet,1B,TEX,A,0
Jeremy,Kracke,SS,ROCK,AAA,0
Martin,Murray,CF,LOUI,AAA,0
Burt,Workman,2B,EDMO,AAA,0
Mike,Igartua,1B,Free Agent,A,0
Gary,Riggleman,C,LAKE,A,5
Manuel,Raymond,3B,TEX,A,0
Eloy,Stephens,C,SF,A,0
Jim,Moten,1B,ALTO,A,0
George,Davidson,2B,HILL,A,0
Virgil,Atkins,LF,ELP,AA,0
